Entity,Maternal mortality ratio,GDP per capita,Population,Births attended by skilled health staff,"Mortality rate, neonatal","Fertility rate, total"
Philippines,121,8120.868652,106738496,84.40000153,1.360000038,2.640000105
Poland,2,30064.50391,38532816,99.80000305,0.279999995,1.480000019
Portugal,8,33044.71484,10307528,98.80000305,0.2,1.379999995
Qatar,9,91738.75,2711764,100,0.379999995,1.886000037
Romania,19,27141.90039,19698852,95.59999847,0.35999999,1.710000038
Russia,17,25926.44336,145452544,,0.320000005,1.621000051
Rwanda,248,1975.248657,12230343,,1.9,4.087999821
Saint Lucia,117,14928.39648,177175,100,1.239999962,1.447999954
Saint Vincent and the Grenadines,68,12245.12598,105568,,0.980000019,1.911000013
Samoa,43,6489.776855,207642,,0.719999981,3.926000118
Sao Tome and Principe,130,3952.945313,208050,,0.939999962,4.374000072
Saudi Arabia,17,47306.22266,34193120,99.69999695,0.40999999,2.372999907
Senegal,315,3203.90625,15157793,68.40000153,2.239999962,4.697000027
Serbia,12,16611.02344,7464882,,0.370000005,1.49000001
Seychelles,53,27309.76172,101828,,0.889999962,2.410000086
Sierra Leone,1120,1633.730713,7677570,81.59999847,3.340000153,4.359000206
Singapore,8,95350.4375,5764489,99.5,0.1,1.159999967
Slovakia,5,30061.55078,5439418,98.80000305,0.3,1.519999981
Slovenia,7,36507.55469,2098396,,0.129999995,1.620000005
Solomon Islands,104,2663.939453,643641,,0.860000038,4.434000015
Somalia,829,1079.112427,14864224,,3.870000076,6.168000221
South Africa,119,13860.27051,56641208,,1.110000038,2.430000067
South Korea,11,40957.41797,51511640,,0.160000002,1.052000046
South Sudan,1150,3188,10658230,,4.05,4.775000095
Spain,4,39528.92578,46584168,,0.189999998,1.309999943
Sri Lanka,36,12584.10449,21506816,,0.45999999,2.20600009
Sudan,295,4598.850098,40679820,,2.85,4.468999863
Suriname,120,18283.6875,587566,,1.2,2.443000078
Sweden,4,51947.95313,10058191,,0.15,1.779999971
Switzerland,5,69103.57031,8451688,,0.29000001,1.519999981
Syria,31,704.046,18983370,,1.080000019,2.846999884
Tajikistan,17,3252.932617,8925529,94.80000305,1.539999962,3.605999947
Tanzania,524,2530.603271,56267040,,2.15,4.953000069
Thailand,37,17422.95313,70898208,,0.55999999,1.531999946
Timor,142,3177.485107,1243238,,2.089999962,4.092999935
Togo,396,2012.240723,7852799,69.40000153,2.589999962,4.383999825
Tonga,52,6467.124512,105430,,0.530000019,3.595000029
Trinidad and Tobago,67,26342.61719,1478616,100,1.169999981,1.738999963
Tunisia,43,11234.48926,11811441,,1.210000038,2.219000101
Turkey,17,27913.81836,82089824,98,0.580000019,2.08100009
Turkmenistan,7,14205.02637,5968388,,2.379999924,2.835999966
Uganda,375,2074.652344,40127096,,2.079999924,5.09499979
Ukraine,19,11860.56055,44657260,,0.530000019,1.373999953
United Arab Emirates,3,67183.60156,9068297,,0.39000001,1.447999954
United Kingdom,7,46372.38672,66064808,,0.279999995,1.74000001
United States,19,60109.65625,329791232,99.09999847,0.379999995,1.765499949
Uruguay,17,23009.875,3422205,100,0.44000001,1.98300004
Uzbekistan,29,6840.709961,31945680,100,0.919999981,2.41899991
Vanuatu,72,3081.835205,290250,,1.15,3.819999933
Venezuela,125,6822,30563430,99.09999847,1.469999981,2.29399991
Vietnam,43,7155.443359,94033048,,1.069999981,2.042000055
World,211,16211.0498,7599822336,,1.829999924,2.427314997
Yemen,164,750,30034386,,2.820000076,3.890000105
Zambia,213,3485.021729,17298056,,2.5,4.717999935
Zimbabwe,458,3795.642334,14751101,,2.7,3.707000017
